sweep,colormap,param,nMAE,SSIM
resolution,viridis,256,2.752963951966878,0.6601600296452069
resolution,viridis,192,2.19536855527201,0.7846796948422288
resolution,viridis,128,2.1024572581323184,0.8556879955678337
resolution,viridis,96,1.8468061507355082,0.9010144367186242
resolution,viridis,64,1.4141724859721736,0.9577567143439729
quality,copper,50,2.7780536743829782,0.7729249167544424
quality,copper,65,2.470177426347168,0.8176661095018231
quality,copper,75,2.270492876694877,0.8442049062785939
quality,copper,85,1.9824783025587853,0.8814414268304696
quality,copper,95,1.4939833956476962,0.9331294114539408
resolution,copper,256,1.9824783025587853,0.8814414268304696
resolution,copper,192,1.4919280376559294,0.9337751696603533
resolution,copper,128,1.2465908456335735,0.9561961693687092
resolution,copper,96,1.2203768160149633,0.965268635118164
resolution,copper,64,0.987487142094676,0.980408268820338
quality,hot,50,2.779540805789048,0.8038102516208756
quality,hot,65,2.6783063084616754,0.8174595983545384
quality,hot,75,2.4818516956249312,0.8428906387379349
quality,hot,85,2.1041810201576747,0.8836028995133808
quality,hot,95,1.7550076457841548,0.920365879775025
resolution,hot,256,2.1041810201576747,0.8836028995133808
resolution,hot,192,1.9235142815598911,0.9082319683737089
resolution,hot,128,1.8844922464512632,0.9051006299436017
resolution,hot,96,2.0399073045958014,0.8949856221910462
resolution,hot,64,2.122390973218671,0.8795514357428605
quality,jet,50,3.4589865379294067,0.5737097914653964
quality,jet,65,3.2411719369980148,0.6415824630470938
quality,jet,75,2.9616460431146985,0.688819914963174
quality,jet,85,2.7167600342923466,0.7236675166974924
quality,jet,95,2.597182600371196,0.7409107349318983
resolution,jet,256,2.7167600342923466,0.7236675166974924
resolution,jet,192,2.147006593824264,0.8576734612370375
resolution,jet,128,1.556087368818685,0.945218854631484
resolution,jet,96,1.5491258650448547,0.957562327641673
resolution,jet,64,1.4333935733600633,0.9744568124320568
quality,viridis,50,3.76052574425587,0.5375755815189558
quality,viridis,65,3.7321475198050527,0.5331984698774358
quality,viridis,75,3.5791927992228154,0.572703938002397
quality,viridis,85,3.2653346824138194,0.6390886147333547
quality,viridis,95,2.602009274146503,0.773327385318985
resolution,viridis,256,3.2653346824138194,0.6390886147333547
resolution,viridis,192,2.698514720784504,0.7652152687050419
resolution,viridis,128,2.168782982517153,0.8599057503239639
resolution,viridis,96,1.9480970516720195,0.9063381630313903
resolution,viridis,64,1.2921697584550407,0.964065599430828
quality,copper,50,3.5325256988989513,0.7437052647512185
quality,copper,65,3.1409258358462497,0.7886058477448273
quality,copper,75,2.964012204043391,0.8071933901921261
quality,copper,85,2.432964075329145,0.874911355976187
quality,copper,95,1.716002393583473,0.9387262454832765
resolution,copper,256,2.432964075329145,0.874911355976187
resolution,copper,192,2.132774281967334,0.9337528434479127
resolution,copper,128,2.1127866808936266,0.9610885102051482
resolution,copper,96,1.982742639578176,0.9737338484998012
resolution,copper,64,1.6149168449988947,0.9890611004179686
quality,hot,50,3.3110189067076945,0.7575072840381317
quality,hot,65,3.0141700345940046,0.8018344973471142
quality,hot,75,2.751456334130584,0.8369512469977793
quality,hot,85,2.3559381015537104,0.8821172738404949
quality,hot,95,2.124586203395027,0.9056230640436201
resolution,hot,256,2.3559381015537104,0.8821172738404949
resolution,hot,192,2.1962361937282844,0.9278821463886122
resolution,hot,128,2.064877344975833,0.9614440200540987
resolution,hot,96,1.9149730090821444,0.9732186881406456
resolution,hot,64,1.7536038284427489,0.9866611728419459
quality,jet,50,3.5214842601581022,0.6449672937438695
quality,jet,65,3.198953657879437,0.7084464013553017
quality,jet,75,2.962854065700253,0.7475898472515672
quality,jet,85,2.750824588572645,0.7807862935363211
quality,jet,95,2.6773682188152006,0.7890845781113671
resolution,jet,256,2.750824588572645,0.7807862935363211
resolution,jet,192,2.2777907247347757,0.9044802628446719
resolution,jet,128,1.8570087769325647,0.9636828193388745
resolution,jet,96,1.8491783800331458,0.9686884890676568
resolution,jet,64,2.1978398537725234,0.9718466547425824
quality,viridis,50,4.689542288082635,0.49604783847794354
quality,viridis,65,4.507418968688716,0.5322415319556494
quality,viridis,75,4.261554651451314,0.5751503146090824
quality,viridis,85,3.8473952314716757,0.6586636080994719
quality,viridis,95,3.3101002203822545,0.7401826134176008
resolution,viridis,256,3.8473952314716757,0.6586636080994719
resolution,viridis,192,3.4688249441844174,0.8166580347963754
resolution,viridis,128,3.161116756416258,0.9108938355268027
resolution,viridis,96,2.8583485369763726,0.9448507866692977
resolution,viridis,64,2.3505446210290772,0.9762257473669387
quality,copper,50,3.436137038779763,0.7823541294286528
quality,copper,65,3.0134053374823484,0.8298920988590865
quality,copper,75,2.8871737946766256,0.8430401389119051
quality,copper,85,2.4336103598112153,0.8884848038672607
quality,copper,95,1.7752648637240305,0.9408861280249244
resolution,copper,256,2.4336103598112153,0.8884848038672607
resolution,copper,192,1.9588730948741566,0.9396875560729095
resolution,copper,128,1.74470731433141,0.9645509970409787
resolution,copper,96,1.6645540294124102,0.9762702700853095
resolution,copper,64,1.2503953407667612,0.9901347915068491
quality,hot,50,3.273514953348776,0.7846434816938628
